1	5598	24
1	3004	13
1	746	7
1	281	7
1	2962	6
1	2041	6
1	3483	6
1	4413	6
1	1093	5
1	2316	4
1	5613	4
1	5056	3
1	5443	3
1	1538	3
1	2078	3
2	3004	19
2	2316	16
2	5010	11
2	4464	10
2	2364	10
2	4160	10
2	985	9
2	3346	9
2	2531	9
2	3686	8
2	125	8
2	5547	7
2	3131	7
2	4109	6
2	4313	6
3	3686	14
3	1447	10
3	12	7
3	1673	7
3	2192	5
3	32	5
3	623	4
3	935	3
3	3759	2
4	5083	14
4	1683	10
4	3109	7
4	2064	5
4	225	4
4	80	4
4	5547	3
4	4322	2
5	3962	27
5	2896	20
5	4151	17
5	3004	10
5	1415	9
5	5610	8
5	2588	8
5	5620	8
5	5207	7
5	5206	7
5	3765	7
5	3911	5
5	4828	5
5	2983	5
5	1401	5
6	129	42
6	2193	18
6	991	16
6	2980	14
6	1342	13
6	2197	13
6	2378	10
6	4119	9
6	2535	9
6	4102	8
6	3868	8
6	4374	8
6	2909	7
6	1074	7
6	1093	7
7	1080	48
7	4497	24
7	760	24
7	7	20
7	2183	10
7	1135	9
7	2197	8
7	3686	8
7	2409	5
7	2364	5
7	2498	4
7	2449	4
7	2	4
7	4672	3
7	935	2
8	749	10
8	2316	9
8	740	7
8	3624	7
8	4286	5
8	1525	4
8	5315	4
8	4459	3
8	1832	1
9	5075	12
9	3078	9
9	749	8
9	452	7
9	5561	7
9	5139	6
9	2533	5
9	2484	4
9	4487	3
9	2316	2
10	1080	48
10	1662	24
10	2216	24
10	10	20
10	107	4
10	4528	4
11	2316	230
11	3004	196
11	3962	155
11	2464	113
11	4690	101
11	4102	88
11	5207	85
11	2192	74
11	1860	70
11	5043	59
11	2384	56
11	2041	56
11	11	56
11	2424	52
11	3708	49
12	5421	33
12	305	28
12	2807	17
12	455	16
12	2586	13
12	3686	12
12	5547	12
12	2192	12
12	2597	11
12	32	11
12	4160	10
12	565	10
12	12	10
12	2808	9
12	3173	9
13	3686	20
13	4396	11
13	4591	10
13	2064	9
13	2449	8
13	4151	7
13	1520	7
13	3042	6
13	3173	5
13	142	5
13	450	5
13	2718	4
13	3195	4
13	490	4
13	4119	3
14	863	10
14	619	10
14	4147	10
14	3771	10
14	848	9
14	267	8
14	5205	8
14	4146	8
14	2041	8
14	2570	7
14	1325	7
14	2543	6
14	2130	6
14	3930	5
14	2540	5
15	2316	28
15	25	26
15	1437	18
15	5485	18
15	15	18
15	4169	17
15	5278	16
15	2554	16
15	2307	15
15	18	14
15	3958	13
15	5392	10
15	4521	10
15	5043	10
15	2909	9
16	4245	10
16	5590	8
16	3870	6
16	3908	6
16	2939	5
16	4103	4
16	4850	4
16	2316	3
16	3144	2
16	2307	1
17	1868	9
17	2555	8
17	1557	7
17	2307	6
17	3992	5
17	2316	4
17	15	3
17	5392	2
17	5613	2
17	2232	1
18	3004	153
18	4160	150
18	2041	143
18	18	134
18	2316	110
18	4190	109
18	2192	93
18	2556	85
18	444	68
18	2309	65
18	1520	62
18	2590	60
18	2588	58
18	2222	52
18	5547	52
19	4137	18
19	4102	18
19	5544	10
19	5457	10
19	2107	10
19	3115	9
19	4240	9
19	3324	9
19	2041	9
19	1343	9
19	1466	8
19	2590	8
19	1515	8
19	1108	7
19	5479	7
20	2316	28
20	1637	10
20	3441	10
20	4640	9
20	299	9
20	1025	9
20	4183	9
20	5160	9
20	858	9
20	3335	8
20	3353	8
20	4990	8
20	5479	8
20	2588	8
20	1391	7
21	5463	30
21	3708	22
21	5610	19
21	4100	18
21	4151	18
21	2316	17
21	1391	16
21	737	15
21	2962	13
21	2250	13
21	3962	11
21	3641	10
21	3832	10
21	5479	10
21	2309	10
22	1135	18
22	3309	17
22	435	16
22	3306	14
22	5563	14
22	2962	14
22	1437	11
22	275	8
22	5503	8
22	3004	8
22	3933	8
22	2570	7
22	2644	7
22	4459	7
22	700	7
23	3004	44
23	2424	22
23	191	22
23	1176	19
23	3101	14
23	3708	14
23	684	11
23	2776	11
23	1138	10
23	756	10
23	752	10
23	5207	9
23	2385	9
23	1438	9
23	1417	8
24	5401	9
24	627	9
24	1972	7
24	4710	7
24	2205	5
24	2716	5
24	4214	4
24	1557	3
24	3076	3
24	2316	2
25	25	392
25	2316	386
25	240	186
25	3962	168
25	3004	157
25	2531	126
25	1438	115
25	2424	111
25	1437	103
25	2889	102
25	2962	99
25	26	97
25	80	95
25	5613	89
25	1097	85
26	2316	254
26	4102	189
26	2192	177
26	5547	143
26	26	116
26	25	97
26	3306	92
26	240	89
26	2424	84
26	4151	78
26	2962	76
26	1097	75
26	1438	65
